Random seed: 123456
1100977:2:Rime started with address 193.12.0.0.0.0.0.2
1108548:2:MAC c1:0c:00:00:00:00:00:02 Contiki-e8a1950 started. Node id is set to 2.
1114279:2:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1115513:8:Rime started with address 193.12.0.0.0.0.0.8
1122382:2:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0002
1123084:8:MAC c1:0c:00:00:00:00:00:08 Contiki-e8a1950 started. Node id is set to 8.
1124532:2:Starting 'UDP client process'
1128815:8:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1136918:8:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0008
1139068:8:Starting 'UDP client process'
1213215:4:Rime started with address 193.12.0.0.0.0.0.4
1220786:4:MAC c1:0c:00:00:00:00:00:04 Contiki-e8a1950 started. Node id is set to 4.
1226517:4:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1234620:4:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0004
1236770:4:Starting 'UDP client process'
1247030:1:Rime started with address 193.12.0.0.0.0.0.1
1254601:1:MAC c1:0c:00:00:00:00:00:01 Contiki-e8a1950 started. Node id is set to 1.
1260332:1:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1268436:1:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0001
1270585:1:Starting 'UDP server process'
1272057:1:SINK: PERIOD: 300
1274288:1:SINK: DixonQ active n value: 5
1276674:1:SINK: DixonQ confidence_level: 1
1279486:1:SINK: PERIOD from project-conf.h: 300
1579968:6:Rime started with address 193.12.0.0.0.0.0.6
1587539:6:MAC c1:0c:00:00:00:00:00:06 Contiki-e8a1950 started. Node id is set to 6.
1593270:6:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1601373:6:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0006
1603523:6:Starting 'UDP client process'
1764197:3:Rime started with address 193.12.0.0.0.0.0.3
1771768:3:MAC c1:0c:00:00:00:00:00:03 Contiki-e8a1950 started. Node id is set to 3.
1777499:3:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1785602:3:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0003
1787752:3:Starting 'UDP client process'
301126345:2:R:1, icmp_sent_TOTAL:15
301128032:2:R:1, icmp_recv_TOTAL:8
301141092:8:R:1, icmp_sent_TOTAL:16
301142929:8:R:1, icmp_recv_TOTAL:21
301238846:4:R:1, icmp_sent_TOTAL:17
301240644:4:R:1, icmp_recv_TOTAL:22
301276281:1:R:1, TOTAL_icmp_sent:6
301278079:1:R:1, TOTAL_icmp_recv:40
301605491:6:R:1, icmp_sent_TOTAL:27
301607314:6:R:1, icmp_recv_TOTAL:34
301789668:3:R:1, icmp_sent_TOTAL:22
301791467:3:R:1, icmp_recv_TOTAL:28
601122666:2:R:2, icmp_sent_TOTAL:19
601124464:2:R:2, icmp_recv_TOTAL:11
601137202:8:R:2, icmp_sent_TOTAL:21
601139000:8:R:2, icmp_recv_TOTAL:29
601234904:4:R:2, icmp_sent_TOTAL:23
601236702:4:R:2, icmp_recv_TOTAL:28
601276281:1:R:2, TOTAL_icmp_sent:7
601278079:1:R:2, TOTAL_icmp_recv:48
601601657:6:R:2, icmp_sent_TOTAL:36
601603456:6:R:2, icmp_recv_TOTAL:43
601785886:3:R:2, icmp_sent_TOTAL:31
601787685:3:R:2, icmp_recv_TOTAL:36
901122667:2:R:3, icmp_sent_TOTAL:24
901124465:2:R:3, icmp_recv_TOTAL:14
901137203:8:R:3, icmp_sent_TOTAL:24
901139002:8:R:3, icmp_recv_TOTAL:32
901234905:4:R:3, icmp_sent_TOTAL:29
901236704:4:R:3, icmp_recv_TOTAL:36
901276272:1:R:3, TOTAL_icmp_sent:7
901278071:1:R:3, TOTAL_icmp_recv:52
901601658:6:R:3, icmp_sent_TOTAL:41
901603456:6:R:3, icmp_recv_TOTAL:46
901785887:3:R:3, icmp_sent_TOTAL:37
901787686:3:R:3, icmp_recv_TOTAL:43
1201122682:2:R:4, icmp_sent_TOTAL:28
1201124480:2:R:4, icmp_recv_TOTAL:17
1201137208:8:R:4, icmp_sent_TOTAL:29
1201139007:8:R:4, icmp_recv_TOTAL:36
1201234920:4:R:4, icmp_sent_TOTAL:34
1201236719:4:R:4, icmp_recv_TOTAL:40
1201276288:1:R:4, TOTAL_icmp_sent:8
1201278087:1:R:4, TOTAL_icmp_recv:59
1201601663:6:R:4, icmp_sent_TOTAL:48
1201603462:6:R:4, icmp_recv_TOTAL:52
1201785892:3:R:4, icmp_sent_TOTAL:41
1201787691:3:R:4, icmp_recv_TOTAL:50
1501122656:2:R:5, icmp_sent_TOTAL:32
1501124454:2:R:5, icmp_recv_TOTAL:19
1501137201:8:R:5, icmp_sent_TOTAL:32
1501139000:8:R:5, icmp_recv_TOTAL:40
1501234892:4:R:5, icmp_sent_TOTAL:39
1501236691:4:R:5, icmp_recv_TOTAL:45
1501276270:1:R:5, TOTAL_icmp_sent:8
1501278069:1:R:5, TOTAL_icmp_recv:64
1501601655:6:R:5, icmp_sent_TOTAL:55
1501603454:6:R:5, icmp_recv_TOTAL:56
1501785885:3:R:5, icmp_sent_TOTAL:47
1501787684:3:R:5, icmp_recv_TOTAL:55
1801122698:2:R:6, icmp_sent_TOTAL:36
1801124497:2:R:6, icmp_recv_TOTAL:21
1801137192:8:R:6, icmp_sent_TOTAL:35
1801138991:8:R:6, icmp_recv_TOTAL:43
1801234903:4:R:6, icmp_sent_TOTAL:45
1801236702:4:R:6, icmp_recv_TOTAL:51
1801276281:1:R:6, TOTAL_icmp_sent:9
1801278080:1:R:6, TOTAL_icmp_recv:70
1801601647:6:R:6, icmp_sent_TOTAL:62
1801603446:6:R:6, icmp_recv_TOTAL:63
1801785886:3:R:6, icmp_sent_TOTAL:54
1801787685:3:R:6, icmp_recv_TOTAL:62
2101122667:2:R:7, icmp_sent_TOTAL:40
2101124465:2:R:7, icmp_recv_TOTAL:23
2101137210:8:R:7, icmp_sent_TOTAL:40
2101139008:8:R:7, icmp_recv_TOTAL:47
2101234905:4:R:7, icmp_sent_TOTAL:49
2101236704:4:R:7, icmp_recv_TOTAL:57
2101276279:1:R:7, TOTAL_icmp_sent:9
2101278079:1:R:7, TOTAL_icmp_recv:75
2101601665:6:R:7, icmp_sent_TOTAL:67
2101603464:6:R:7, icmp_recv_TOTAL:67
