Random seed: 123456
937738:10:Rime started with address 193.12.0.0.0.0.0.10
945423:10:MAC c1:0c:00:00:00:00:00:0a Contiki-e8a1950 started. Node id is set to 10.
951190:10:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
959290:10:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:000a
961440:10:Starting 'UDP client process'
1055429:13:Rime started with address 193.12.0.0.0.0.0.13
1063114:13:MAC c1:0c:00:00:00:00:00:0d Contiki-e8a1950 started. Node id is set to 13.
1068881:13:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1076981:13:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:000d
1079131:13:Starting 'UDP client process'
1100977:2:Rime started with address 193.12.0.0.0.0.0.2
1108548:2:MAC c1:0c:00:00:00:00:00:02 Contiki-e8a1950 started. Node id is set to 2.
1114279:2:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1115513:8:Rime started with address 193.12.0.0.0.0.0.8
1122382:2:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0002
1123084:8:MAC c1:0c:00:00:00:00:00:08 Contiki-e8a1950 started. Node id is set to 8.
1124532:2:Starting 'UDP client process'
1128815:8:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1136918:8:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0008
1139068:8:Starting 'UDP client process'
1213215:4:Rime started with address 193.12.0.0.0.0.0.4
1220786:4:MAC c1:0c:00:00:00:00:00:04 Contiki-e8a1950 started. Node id is set to 4.
1226517:4:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1234620:4:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0004
1236770:4:Starting 'UDP client process'
1247030:1:Rime started with address 193.12.0.0.0.0.0.1
1254601:1:MAC c1:0c:00:00:00:00:00:01 Contiki-e8a1950 started. Node id is set to 1.
1260332:1:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1266627:9:Rime started with address 193.12.0.0.0.0.0.9
1268436:1:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0001
1270585:1:Starting 'UDP server process'
1272057:1:SINK: PERIOD: 300
1274198:9:MAC c1:0c:00:00:00:00:00:09 Contiki-e8a1950 started. Node id is set to 9.
1274288:1:SINK: DixonQ active n value: 5
1276674:1:SINK: DixonQ confidence_level: 1
1279486:1:SINK: PERIOD from project-conf.h: 300
1279929:9:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1288032:9:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0009
1290182:9:Starting 'UDP client process'
1421449:12:Rime started with address 193.12.0.0.0.0.0.12
1429134:12:MAC c1:0c:00:00:00:00:00:0c Contiki-e8a1950 started. Node id is set to 12.
1434901:12:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1443001:12:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:000c
1445151:12:Starting 'UDP client process'
1573446:11:Rime started with address 193.12.0.0.0.0.0.11
1579968:6:Rime started with address 193.12.0.0.0.0.0.6
1581131:11:MAC c1:0c:00:00:00:00:00:0b Contiki-e8a1950 started. Node id is set to 11.
1586898:11:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1587539:6:MAC c1:0c:00:00:00:00:00:06 Contiki-e8a1950 started. Node id is set to 6.
1593270:6:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1594998:11:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:000b
1597148:11:Starting 'UDP client process'
1601373:6:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0006
1603523:6:Starting 'UDP client process'
1764197:3:Rime started with address 193.12.0.0.0.0.0.3
1771768:3:MAC c1:0c:00:00:00:00:00:03 Contiki-e8a1950 started. Node id is set to 3.
1777499:3:nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26
1785602:3:Tentative link-local IPv6 address fe80:0000:0000:0000:c30c:0000:0000:0003
1787752:3:Starting 'UDP client process'
300963150:10:R:1, icmp_sent_TOTAL:32
300964972:10:R:1, icmp_recv_TOTAL:48
301081102:13:R:1, icmp_sent_TOTAL:37
301082943:13:R:1, icmp_recv_TOTAL:43
301126556:2:R:1, icmp_sent_TOTAL:15
301128395:2:R:1, icmp_recv_TOTAL:20
301141303:8:R:1, icmp_sent_TOTAL:16
301143138:8:R:1, icmp_recv_TOTAL:29
301238846:4:R:1, icmp_sent_TOTAL:16
301240644:4:R:1, icmp_recv_TOTAL:26
301276281:1:R:1, TOTAL_icmp_sent:6
301278080:1:R:1, TOTAL_icmp_recv:75
301292207:9:R:1, icmp_sent_TOTAL:17
301294045:9:R:1, icmp_recv_TOTAL:35
301447128:12:R:1, icmp_sent_TOTAL:15
301448963:12:R:1, icmp_recv_TOTAL:35
301598914:11:R:1, icmp_sent_TOTAL:15
301600751:11:R:1, icmp_recv_TOTAL:21
301605491:6:R:1, icmp_sent_TOTAL:27
301607314:6:R:1, icmp_recv_TOTAL:32
301789668:3:R:1, icmp_sent_TOTAL:22
301791467:3:R:1, icmp_recv_TOTAL:28
600959324:10:R:2, icmp_sent_TOTAL:40
600961123:10:R:2, icmp_recv_TOTAL:55
601077006:13:R:2, icmp_sent_TOTAL:46
601078805:13:R:2, icmp_recv_TOTAL:53
601122666:2:R:2, icmp_sent_TOTAL:19
601124464:2:R:2, icmp_recv_TOTAL:24
601137202:8:R:2, icmp_sent_TOTAL:20
601139000:8:R:2, icmp_recv_TOTAL:40
601234904:4:R:2, icmp_sent_TOTAL:21
601236703:4:R:2, icmp_recv_TOTAL:31
601276281:1:R:2, TOTAL_icmp_sent:7
601278080:1:R:2, TOTAL_icmp_recv:90
601288316:9:R:2, icmp_sent_TOTAL:21
601290114:9:R:2, icmp_recv_TOTAL:45
601443026:12:R:2, icmp_sent_TOTAL:19
601444824:12:R:2, icmp_recv_TOTAL:45
601595023:11:R:2, icmp_sent_TOTAL:19
601596821:11:R:2, icmp_recv_TOTAL:24
601601657:6:R:2, icmp_sent_TOTAL:36
601603456:6:R:2, icmp_recv_TOTAL:39
601785886:3:R:2, icmp_sent_TOTAL:31
601787685:3:R:2, icmp_recv_TOTAL:34
900959316:10:R:3, icmp_sent_TOTAL:48
900961115:10:R:3, icmp_recv_TOTAL:62
901077007:13:R:3, icmp_sent_TOTAL:54
901078806:13:R:3, icmp_recv_TOTAL:58
901122657:2:R:3, icmp_sent_TOTAL:23
901124455:2:R:3, icmp_recv_TOTAL:28
901137193:8:R:3, icmp_sent_TOTAL:23
901138991:8:R:3, icmp_recv_TOTAL:44
901234895:4:R:3, icmp_sent_TOTAL:26
901236694:4:R:3, icmp_recv_TOTAL:39
901276272:1:R:3, TOTAL_icmp_sent:7
901278071:1:R:3, TOTAL_icmp_recv:98
901288317:9:R:3, icmp_sent_TOTAL:25
901290115:9:R:3, icmp_recv_TOTAL:48
901443027:12:R:3, icmp_sent_TOTAL:24
901444826:12:R:3, icmp_recv_TOTAL:56
901595056:11:R:3, icmp_sent_TOTAL:22
901596854:11:R:3, icmp_recv_TOTAL:28
901601658:6:R:3, icmp_sent_TOTAL:41
901603456:6:R:3, icmp_recv_TOTAL:45
901785887:3:R:3, icmp_sent_TOTAL:37
901787686:3:R:3, icmp_recv_TOTAL:37
1200959322:10:R:4, icmp_sent_TOTAL:55
1200961121:10:R:4, icmp_recv_TOTAL:69
1201077013:13:R:4, icmp_sent_TOTAL:64
1201078812:13:R:4, icmp_recv_TOTAL:66
1201122682:2:R:4, icmp_sent_TOTAL:29
1201124481:2:R:4, icmp_recv_TOTAL:32
1201137209:8:R:4, icmp_sent_TOTAL:28
1201139008:8:R:4, icmp_recv_TOTAL:51
1201234920:4:R:4, icmp_sent_TOTAL:31
1201236718:4:R:4, icmp_recv_TOTAL:41
1201276288:1:R:4, TOTAL_icmp_sent:8
1201278200:1:R:4, TOTAL_icmp_recv:112
1201288332:9:R:4, icmp_sent_TOTAL:28
1201290131:9:R:4, icmp_recv_TOTAL:54
1201443032:12:R:4, icmp_sent_TOTAL:27
1201444831:12:R:4, icmp_recv_TOTAL:64
1201595029:11:R:4, icmp_sent_TOTAL:27
1201596828:11:R:4, icmp_recv_TOTAL:30
